prompt_id	task	alpha_-10	alpha_-5	alpha_0	alpha_+5	alpha_+10
dilemma_006	moral	D	E	A	C	B
dilemma_009	moral	D	E	B	A	C
dilemma_013	moral	C	E	D	B	A
dilemma_014	moral	C	D	A	B	E
dilemma_017	moral	E	D	B	C	A
dilemma_021	moral	A	B	D	C	E
dilemma_023	moral	D	B	C	A	E
dilemma_026	moral	D	C	B	A	E
dilemma_029	moral	D	C	B	A	E
dilemma_030	moral	A	C	D	B	E
emp_01	empathy	D	A	B	E	C
emp_02	empathy	B	D	A	E	C
emp_03	empathy	A	D	C	B	E
emp_04	empathy	B	C	D	E	A
emp_05	empathy	D	B	A	C	E
emp_06	empathy	A	E	C	B	D
emp_07	empathy	E	D	C	B	A
emp_08	empathy	B	E	A	C	D
emp_09	empathy	B	D	C	E	A
emp_10	empathy	D	A	C	E	B
fp_001	tom_faux_pas	E	D	B	C	A
fp_003	tom_faux_pas	D	B	C	E	A
fp_014	tom_faux_pas	A	C	E	B	D
fp_020	tom_faux_pas	D	B	A	C	E
fp_021	tom_faux_pas	D	B	E	C	A
fp_031	tom_faux_pas	D	E	C	B	A
fp_032	tom_faux_pas	A	B	D	E	C
fp_047	tom_faux_pas	E	A	C	D	B
fp_051	tom_faux_pas	C	B	D	A	E
fp_053	tom_faux_pas	C	A	E	B	D
