question	label_A	label_B	label_C	label_D
Q01	brain_a+10	brain_a-10	random_a-10	random_a+10
Q02	brain_a+10	random_a+10	random_a-10	brain_a-10
Q03	brain_a+10	brain_a-10	random_a+10	random_a-10
Q04	random_a-10	random_a+10	brain_a-10	brain_a+10
Q05	brain_a+10	random_a-10	random_a+10	brain_a-10
Q06	brain_a+10	brain_a-10	random_a+10	random_a-10
Q07	random_a+10	random_a-10	brain_a-10	brain_a+10
Q08	brain_a+10	random_a+10	random_a-10	brain_a-10
Q09	brain_a-10	brain_a+10	random_a+10	random_a-10
Q10	brain_a+10	brain_a-10	random_a+10	random_a-10
Q11	random_a+10	brain_a-10	brain_a+10	random_a-10
Q12	brain_a+10	random_a-10	brain_a-10	random_a+10
Q13	random_a-10	brain_a-10	brain_a+10	random_a+10
Q14	brain_a-10	random_a+10	random_a-10	brain_a+10
Q15	random_a+10	random_a-10	brain_a-10	brain_a+10
Q16	random_a+10	brain_a+10	random_a-10	brain_a-10
Q17	random_a-10	brain_a+10	random_a+10	brain_a-10
Q18	random_a+10	random_a-10	brain_a-10	brain_a+10
Q19	random_a+10	random_a-10	brain_a-10	brain_a+10
Q20	brain_a-10	random_a+10	brain_a+10	random_a-10
Q21	brain_a+10	random_a+10	brain_a-10	random_a-10
Q22	brain_a-10	random_a-10	random_a+10	brain_a+10
Q23	random_a-10	brain_a+10	brain_a-10	random_a+10
Q24	brain_a+10	random_a+10	brain_a-10	random_a-10
Q25	random_a-10	random_a+10	brain_a-10	brain_a+10
Q26	random_a+10	brain_a-10	brain_a+10	random_a-10
Q27	random_a+10	brain_a-10	random_a-10	brain_a+10
Q28	random_a+10	random_a-10	brain_a+10	brain_a-10
Q29	brain_a-10	random_a-10	random_a+10	brain_a+10
Q30	brain_a+10	random_a-10	random_a+10	brain_a-10
